Created by PLY version 3.4 (http://www.dabeaz.com/ply)

Grammar

Rule 0     S' -> Pgm
    Dec                            shift and go to state 78
    Assign                         shift and go to state 80
    this                           shift and go to state 84
    FieldAccess                    shift and go to state 104
    Primary                        shift and go to state 105
    NewObject                      shift and go to state 88
    SE                             shift and go to state 107
    Inc                            shift and go to state 90

state 128

    (103) FieldAccess -> Primary DOT . IDENTIFIER

    IDENTIFIER      shift and go to state 172


state 129

    (50) Assign -> Inc Lhs .

    TIMES           reduce using rule 50 (Assign -> Inc Lhs .)
    SLASH           reduce using rule 50 (Assign -> Inc Lhs .)
    PLUS            reduce using rule 50 (Assign -> Inc Lhs .)
    MINUS           reduce using rule 50 (Assign -> Inc Lhs .)
    LT              reduce using rule 50 (Assign -> Inc Lhs .)
    EQ              reduce using rule 50 (Assign -> Inc Lhs .)
    GT              reduce using rule 50 (Assign -> Inc Lhs .)
    GTEQ            reduce using rule 50 (Assign -> Inc Lhs .)
    LTEQ            reduce using rule 50 (Assign -> Inc Lhs .)
    NEQ             reduce using rule 50 (Assign -> Inc Lhs .)
    LAND            reduce using rule 50 (Assign -> Inc Lhs .)
    LOR             reduce using rule 50 (Assign -> Inc Lhs .)
    MOD             reduce using rule 50 (Assign -> Inc Lhs .)
    SEMICOLON       reduce using rule 50 (Assign -> Inc Lhs .)
    DO              reduce using rule 50 (Assign -> Inc Lhs .)
    RPAREN          reduce using rule 50 (Assign -> Inc Lhs .)
    THEN            reduce using rule 50 (Assign -> Inc Lhs .)
    COMMA           reduce using rule 50 (Assign -> Inc Lhs .)
    RSQR            reduce using rule 50 (Assign -> Inc Lhs .)


state 130

    (37) Stmt -> SE SEMICOLON .

    CLASS           reduce using rule 37 (Stmt -> SE SEMICOLON .)
    INT             reduce using rule 37 (Stmt -> SE SEMICOLON .)
    BOOL            reduce using rule 37 (Stmt -> SE SEMICOLON .)
    VOID            reduce using rule 37 (Stmt -> SE SEMICOLON .)
    animal          reduce using rule 37 (Stmt -> SE SEMICOLON .)
    dog             reduce using rule 37 (Stmt -> SE SEMICOLON .)
    $end            reduce using rule 37 (Stmt -> SE SEMICOLON .)
    RCURLY          reduce using rule 37 (Stmt -> SE SEMICOLON .)
    WHILE           reduce using rule 37 (Stmt -> SE SEMICOLON .)
    PRINT           reduce using rule 37 (Stmt -> SE SEMICOLON .)
    LCURLY          reduce using rule 37 (Stmt -> SE SEMICOLON .)
    IF              reduce using rule 37 (Stmt -> SE SEMICOLON .)
    FOR             reduce using rule 37 (Stmt -> SE SEMICOLON .)
    DO              reduce using rule 37 (Stmt -> SE SEMICOLON .)
    RETURN          reduce using rule 37 (Stmt -> SE SEMICOLON .)
    INC             reduce using rule 37 (Stmt -> SE SEMICOLON .)
    DEC             reduce using rule 37 (Stmt -> SE SEMICOLON .)
    IDENTIFIER      reduce using rule 37 (Stmt -> SE SEMICOLON .)
    LPAREN          reduce using rule 37 (Stmt -> SE SEMICOLON .)
    NUMBER          reduce using rule 37 (Stmt -> SE SEMICOLON .)
    TRUE            reduce using rule 37 (Stmt -> SE SEMICOLON .)
    FALSE           reduce using rule 37 (Stmt -> SE SEMICOLON .)
    THIS            reduce using rule 37 (Stmt -> SE SEMICOLON .)
    SUPER           reduce using rule 37 (Stmt -> SE SEMICOLON .)
    INPUT           reduce using rule 37 (Stmt -> SE SEMICOLON .)
    NEW             reduce using rule 37 (Stmt -> SE SEMICOLON .)
    ELSE            reduce using rule 37 (Stmt -> SE SEMICOLON .)


state 131

    (33) Formals -> Type Var COMMA Formals .

    RPAREN          reduce using rule 33 (Formals -> Type Var COMMA Formals .)


state 132

    (65) Return -> RETURN AEQ SEMICOLON .

    CLASS           reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    INT             reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    BOOL            reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    VOID            reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    animal          reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    dog             reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    $end            reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    RCURLY          reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    WHILE           reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    PRINT           reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    LCURLY          reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    IF              reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    FOR             reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    DO              reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    RETURN          reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    INC             reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    DEC             reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    IDENTIFIER      reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    LPAREN          reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    NUMBER          reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    TRUE            reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    FALSE           reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    THIS            reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    SUPER           reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    INPUT           reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    NEW             reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)
    ELSE            reduce using rule 65 (Return -> RETURN AEQ SEMICOLON .)


state 133

    (81) AE -> MINUS AE .
    (68) AE -> AE . TIMES AE
    (69) AE -> AE . SLASH AE
    (70) AE -> AE . PLUS AE
    (71) AE -> AE . MINUS AE
    (72) AE -> AE . LT AE
    (73) AE -> AE . EQ AE
    (74) AE -> AE . GT AE
    (75) AE -> AE . GTEQ AE
    (76) AE -> AE . LTEQ AE
    (77) AE -> AE . NEQ AE
    (78) AE -> AE . LAND AE
    (79) AE -> AE . LOR AE
    (80) AE -> AE . MOD AE

    RSQR            reduce using rule 81 (AE -> MINUS AE .)
    TIMES           reduce using rule 81 (AE -> MINUS AE .)
    SLASH           reduce using rule 81 (AE -> MINUS AE .)
    PLUS            reduce using rule 81 (AE -> MINUS AE .)
    MINUS           reduce using rule 81 (AE -> MINUS AE .)
    LT              reduce using rule 81 (AE -> MINUS AE .)
    EQ              reduce using rule 81 (AE -> MINUS AE .)
    GT              reduce using rule 81 (AE -> MINUS AE .)
    GTEQ            reduce using rule 81 (AE -> MINUS AE .)
    LTEQ            reduce using rule 81 (AE -> MINUS AE .)
    NEQ             reduce using rule 81 (AE -> MINUS AE .)
    LAND            reduce using rule 81 (AE -> MINUS AE .)
    LOR             reduce using rule 81 (AE -> MINUS AE .)
    MOD             reduce using rule 81 (AE -> MINUS AE .)
    SEMICOLON       reduce using rule 81 (AE -> MINUS AE .)
    DO              reduce using rule 81 (AE -> MINUS AE .)
    RPAREN          reduce using rule 81 (AE -> MINUS AE .)
    THEN            reduce using rule 81 (AE -> MINUS AE .)
    COMMA           reduce using rule 81 (AE -> MINUS AE .)

  ! TIMES           [ shift and go to state 140 ]
  ! SLASH           [ shift and go to state 145 ]
  ! PLUS            [ shift and go to state 144 ]
  ! MINUS           [ shift and go to state 148 ]
  ! LT              [ shift and go to state 142 ]
  ! EQ              [ shift and go to state 147 ]
  ! GT              [ shift and go to state 137 ]
  ! GTEQ            [ shift and go to state 138 ]
  ! LTEQ            [ shift and go to state 139 ]
  ! NEQ             [ shift and go to state 149 ]
  ! LAND            [ shift and go to state 143 ]
  ! LOR             [ shift and go to state 141 ]
  ! MOD             [ shift and go to state 146 ]


state 134

    (110) NewObject -> NEW animal . LPAREN RPAREN
    (28) Type -> animal .

    LPAREN          shift and go to state 159
    LSQR            reduce using rule 28 (Type -> animal .)


state 135

    (112) NewArray -> NEW Type . DimExpr Dimstar
    (27) Type -> Type . LSQR RSQR
    (113) DimExpr -> . LSQR AE RSQR

    LSQR            shift and go to state 173

    DimExpr                        shift and go to state 174

state 136

    (111) NewObject -> NEW dog . LPAREN RPAREN
    (29) Type -> dog .

    LPAREN          shift and go to state 160
    LSQR            reduce using rule 29 (Type -> dog .)


state 137

    (74) AE -> AE GT . AE
    (68) AE -> . AE TIMES AE
    (69) AE -> . AE SLASH AE
    (70) AE -> . AE PLUS AE
    (71) AE -> . AE MINUS AE
    (72) AE -> . AE LT AE
    (73) AE -> . AE EQ AE
    (74) AE -> . AE GT AE
    (75) AE -> . AE GTEQ AE
    (76) AE -> . AE LTEQ AE
    (77) AE -> . AE NEQ AE
    (78) AE -> . AE LAND AE
    (79) AE -> . AE LOR AE
    (80) AE -> . AE MOD AE
    (81) AE -> . MINUS AE
    (82) AE -> . NOT AE
    (83) AE -> . Primary
    (84) AE -> . SE
    (85) AE -> . NewArray
    (86) Primary -> . intconst
    (87) Primary -> . true
    (88) Primary -> . false
    (89) Primary -> . this
    (90) Primary -> . super
    (91) Primary -> . Input
    (92) Primary -> . LPAREN AE RPAREN
    (93) Primary -> . FieldAccess
    (94) Primary -> . ArrayAccess
    (95) Primary -> . NewObject
    (45) SE -> . Assign
    (46) SE -> . MethodCall
    (112) NewArray -> . NEW Type DimExpr Dimstar
    (96) intconst -> . NUMBER
    (97) true -> . TRUE
    (98) false -> . FALSE
    (99) this -> . THIS
    (100) super -> . SUPER
    (101) Input -> . INPUT LPAREN RPAREN
    (103) FieldAccess -> . Primary DOT IDENTIFIER
    (104) FieldAccess -> . IDENTIFIER
    (102) ArrayAccess -> . Primary LSQR AE RSQR
    (110) NewObject -> . NEW animal LPAREN RPAREN
    (111) NewObject -> . NEW dog LPAREN RPAREN
    (47) Assign -> . Lhs EQUALS AE
    (48) Assign -> . Lhs Inc
    (49) Assign -> . Lhs Dec
    (50) Assign -> . Inc Lhs
    (51) Assign -> . Dec Lhs
    (105) MethodCall -> . FieldAccess LPAREN ArgsQ RPAREN
    (66) Lhs -> . FieldAccess
    (67) Lhs -> . ArrayAccess
    (53) Inc -> . INC
    (52) Dec -> . DEC

    MINUS           shift and go to state 98
    NOT             shift and go to state 106
    LPAREN          shift and go to state 74
    NEW             shift and go to state 99
    NUMBER          shift and go to state 55
    TRUE            shift and go to state 89
    FALSE           shift and go to state 83
    THIS            shift and go to state 87
    SUPER           shift and go to state 91
    INPUT           shift and go to state 61
    IDENTIFIER      shift and go to state 69
    INC             shift and go to state 68
    DEC             shift and go to state 62

    false                          shift and go to state 71
    true                           shift and go to state 79
    Input                          shift and go to state 59
    MethodCall                     shift and go to state 63
    super                          shift and go to state 66
    NewArray                       shift and go to state 100
    AE                             shift and go to state 175
    Lhs                            shift and go to state 73
    intconst                       shift and go to state 75
    ArrayAccess                    shift and go to state 103
    Dec                            shift and go to state 78
    Assign                         shift and go to state 80
    this                           shift and go to state 84
    FieldAccess                    shift and go to state 104
    Primary                        shift and go to state 105
    NewObject                      shift and go to state 88
    SE                             shift and go to state 107
    Inc                            shift and go to state 90

state 138

    (75) AE -> AE GTEQ . AE
    (68) AE -> . AE TIMES AE
    (69) AE -> . AE SLASH AE
    (70) AE -> . AE PLUS AE
    (71) AE -> . AE MINUS AE
    (72) AE -> . AE LT AE
    (73) AE -> . AE EQ AE
    (74) AE -> . AE GT AE
    (75) AE -> . AE GTEQ AE
    (76) AE -> . AE LTEQ AE
    (77) AE -> . AE NEQ AE
    (78) AE -> . AE LAND AE
    (79) AE -> . AE LOR AE
    (80) AE -> . AE MOD AE
    (81) AE -> . MINUS AE
    (82) AE -> . NOT AE
    (83) AE -> . Primary
    (84) AE -> . SE
    (85) AE -> . NewArray
    (86) Primary -> . intconst
    (87) Primary -> . true
    (88) Primary -> . false
    (89) Primary -> . this
    (90) Primary -> . super
    (91) Primary -> . Input
    (92) Primary -> . LPAREN AE RPAREN
    (93) Primary -> . FieldAccess
    (94) Primary -> . ArrayAccess
    (95) Primary -> . NewObject
    (45) SE -> . Assign
    (46) SE -> . MethodCall
    (112) NewArray -> . NEW Type DimExpr Dimstar
    (96) intconst -> . NUMBER
    (97) true -> . TRUE
    (98) false -> . FALSE
    (99) this -> . THIS
    (100) super -> . SUPER
    (101) Input -> . INPUT LPAREN RPAREN
    (103) FieldAccess -> . Primary DOT IDENTIFIER
    (104) FieldAccess -> . IDENTIFIER
    (102) ArrayAccess -> . Primary LSQR AE RSQR
    (110) NewObject -> . NEW animal LPAREN RPAREN
    (111) NewObject -> . NEW dog LPAREN RPAREN
    (47) Assign -> . Lhs EQUALS AE
    (48) Assign -> . Lhs Inc
    (49) Assign -> . Lhs Dec
    (50) Assign -> . Inc Lhs
    (51) Assign -> . Dec Lhs
    (105) MethodCall -> . FieldAccess LPAREN ArgsQ RPAREN
    (66) Lhs -> . FieldAccess
    (67) Lhs -> . ArrayAccess
    (53) Inc -> . INC
    (52) Dec -> . DEC

    MINUS           shift and go to state 98
    NOT             shift and go to state 106
    LPAREN          shift and go to state 74
    NEW             shift and go to state 99
    NUMBER          shift and go to state 55
    TRUE            shift and go to state 89
    FALSE           shift and go to state 83
    THIS            shift and go to state 87
    SUPER           shift and go to state 91
    INPUT           shift and go to state 61
    IDENTIFIER      shift and go to state 69
    INC             shift and go to state 68
    DEC             shift and go to state 62

    false                          shift and go to state 71
    true                           shift and go to state 79
    Input                          shift and go to state 59
    MethodCall                     shift and go to state 63
    super                          shift and go to state 66
    NewArray                       shift and go to state 100
    AE                             shift and go to state 176
    Lhs                            shift and go to state 73
    intconst                       shift and go to state 75
    ArrayAccess                    shift and go to state 103
    Dec                            shift and go to state 78
    Assign                         shift and go to state 80
    this                           shift and go to state 84
    FieldAccess                    shift and go to state 104
    Primary                        shift and go to state 105
    NewObject                      shift and go to state 88
    SE                             shift and go to state 107
    Inc                            shift and go to state 90

state 139

    (76) AE -> AE LTEQ . AE
    (68) AE -> . AE TIMES AE
    (69) AE -> . AE SLASH AE
    (70) AE -> . AE PLUS AE
    (71) AE -> . AE MINUS AE
    (72) AE -> . AE LT AE
    (73) AE -> . AE EQ AE
    (74) AE -> . AE GT AE
    (75) AE -> . AE GTEQ AE
    (76) AE -> . AE LTEQ AE
    (77) AE -> . AE NEQ AE
    (78) AE -> . AE LAND AE
    (79) AE -> . AE LOR AE
    (80) AE -> . AE MOD AE
    (81) AE -> . MINUS AE
    (82) AE -> . NOT AE
    (83) AE -> . Primary
    (84) AE -> . SE
    (85) AE -> . NewArray
    (86) Primary -> . intconst
    (87) Primary -> . true
    (88) Primary -> . false
    (89) Primary -> . this
    (90) Primary -> . super
    (91) Primary -> . Input
    (92) Primary -> . LPAREN AE RPAREN
    (93) Primary -> . FieldAccess
    (94) Primary -> . ArrayAccess
    (95) Primary -> . NewObject
    (45) SE -> . Assign
    (46) SE -> . MethodCall
    (112) NewArray -> . NEW Type DimExpr Dimstar
    (96) intconst -> . NUMBER
    (97) true -> . TRUE
    (98) false -> . FALSE
    (99) this -> . THIS
    (100) super -> . SUPER
    (101) Input -> . INPUT LPAREN RPAREN
    (103) FieldAccess -> . Primary DOT IDENTIFIER
    (104) FieldAccess -> . IDENTIFIER
    (102) ArrayAccess -> . Primary LSQR AE RSQR
    (110) NewObject -> . NEW animal LPAREN RPAREN
    (111) NewObject -> . NEW dog LPAREN RPAREN
    (47) Assign -> . Lhs EQUALS AE
    (48) Assign -> . Lhs Inc
    (49) Assign -> . Lhs Dec
    (50) Assign -> . Inc Lhs
    (51) Assign -> . Dec Lhs
    (105) MethodCall -> . FieldAccess LPAREN ArgsQ RPAREN
    (66) Lhs -> . FieldAccess
    (67) Lhs -> . ArrayAccess
    (53) Inc -> . INC
    (52) Dec -> . DEC

    MINUS           shift and go to state 98
    NOT             shift and go to state 106
    LPAREN          shift and go to state 74
    NEW             shift and go to state 99
    NUMBER          shift and go to state 55
    TRUE            shift and go to state 89
    FALSE           shift and go to state 83
    THIS            shift and go to state 87
    SUPER           shift and go to state 91
    INPUT           shift and go to state 61
    IDENTIFIER      shift and go to state 69
    INC             shift and go to state 68
    DEC             shift and go to state 62

    false                          shift and go to state 71
    true                           shift and go to state 79
    Input                          shift and go to state 59
    MethodCall                     shift and go to state 63
    super                          shift and go to state 66
    NewArray                       shift and go to state 100
    AE                             shift and go to state 177
    Lhs                            shift and go to state 73
    intconst                       shift and go to state 75
    ArrayAccess                    shift and go to state 103
    Dec                            shift and go to state 78
    Assign                         shift and go to state 80
    this                           shift and go to state 84
    FieldAccess                    shift and go to state 104
    Primary                        shift and go to state 105
    NewObject                      shift and go to state 88
    SE                             shift and go to state 107
    Inc                            shift and go to state 90

state 140

    (68) AE -> AE TIMES . AE
    (68) AE -> . AE TIMES AE
    (69) AE -> . AE SLASH AE
    (70) AE -> . AE PLUS AE
    (71) AE -> . AE MINUS AE
    (72) AE -> . AE LT AE
    (73) AE -> . AE EQ AE
    (74) AE -> . AE GT AE
    (75) AE -> . AE GTEQ AE
    (76) AE -> . AE LTEQ AE
    (77) AE -> . AE NEQ AE
    (78) AE -> . AE LAND AE
    (79) AE -> . AE LOR AE
    (80) AE -> . AE MOD AE
    (81) AE -> . MINUS AE
    (82) AE -> . NOT AE
    (83) AE -> . Primary
    (84) AE -> . SE
    (85) AE -> . NewArray
    (86) Primary -> . intconst
    (87) Primary -> . true
    (88) Primary -> . false
    (89) Primary -> . this
    (90) Primary -> . super
    (91) Primary -> . Input
    (92) Primary -> . LPAREN AE RPAREN
    (93) Primary -> . FieldAccess
    (94) Primary -> . ArrayAccess
    (95) Primary -> . NewObject
    (45) SE -> . Assign
    (46) SE -> . MethodCall
    (112) NewArray -> . NEW Type DimExpr Dimstar
    (96) intconst -> . NUMBER
    (97) true -> . TRUE
    (98) false -> . FALSE
    (99) this -> . THIS
    (100) super -> . SUPER
    (101) Input -> . INPUT LPAREN RPAREN
    (103) FieldAccess -> . Primary DOT IDENTIFIER
    (104) FieldAccess -> . IDENTIFIER
    (102) ArrayAccess -> . Primary LSQR AE RSQR
    (110) NewObject -> . NEW animal LPAREN RPAREN
    (111) NewObject -> . NEW dog LPAREN RPAREN
    (47) Assign -> . Lhs EQUALS AE
    (48) Assign -> . Lhs Inc
    (49) Assign -> . Lhs Dec
    (50) Assign -> . Inc Lhs
    (51) Assign -> . Dec Lhs
    (105) MethodCall -> . FieldAccess LPAREN ArgsQ RPAREN
    (66) Lhs -> . FieldAccess
    (67) Lhs -> . ArrayAccess
    (53) Inc -> . INC
    (52) Dec -> . DEC

    MINUS           shift and go to state 98
    NOT             shift and go to state 106
    LPAREN          shift and go to state 74
    NEW             shift and go to state 99
    NUMBER          shift and go to state 55
    TRUE            shift and go to state 89
    FALSE           shift and go to state 83
    THIS            shift and go to state 87
    SUPER           shift and go to state 91
    INPUT           shift and go to state 61
    IDENTIFIER      shift and go to state 69
    INC             shift and go to state 68
    DEC             shift and go to state 62

    false                          shift and go to state 71
    true                           shift and go to state 79
    Input                          shift and go to state 59
    MethodCall                     shift and go to state 63
    super                          shift and go to state 66
    NewArray                       shift and go to state 100
    AE                             shift and go to state 178
    Lhs                            shift and go to state 73
    intconst                       shift and go to state 75
    ArrayAccess                    shift and go to state 103
    Dec                            shift and go to state 78
    Assign                         shift and go to state 80
    this                           shift and go to state 84
    FieldAccess                    shift and go to state 104
    Primary                        shift and go to state 105
    NewObject                      shift and go to state 88
    SE                             shift and go to state 107
    Inc                            shift and go to state 90

state 141

    (79) AE -> AE LOR . AE
    (68) AE -> . AE TIMES AE
    (69) AE -> . AE SLASH AE
    (70) AE -> . AE PLUS AE
    (71) AE -> . AE MINUS AE
    (72) AE -> . AE LT AE
    (73) AE -> . AE EQ AE
    (74) AE -> . AE GT AE
    (75) AE -> . AE GTEQ AE
    (76) AE -> . AE LTEQ AE
    (77) AE -> . AE NEQ AE
    (78) AE -> . AE LAND AE
    (79) AE -> . AE LOR AE
    (80) AE -> . AE MOD AE
    (81) AE -> . MINUS AE
    (82) AE -> . NOT AE
    (83) AE -> . Primary
    (84) AE -> . SE
    (85) AE -> . NewArray
    (86) Primary -> . intconst
    (87) Primary -> . true
    (88) Primary -> . false
    (89) Primary -> . this
    (90) Primary -> . super
    (91) Primary -> . Input
    (92) Primary -> . LPAREN AE RPAREN
    (93) Primary -> . FieldAccess
    (94) Primary -> . ArrayAccess
    (95) Primary -> . NewObject
    (45) SE -> . Assign
    (46) SE -> . MethodCall
    (112) NewArray -> . NEW Type DimExpr Dimstar
    (96) intconst -> . NUMBER
    (97) true -> . TRUE
    (98) false -> . FALSE
    (99) this -> . THIS
    (100) super -> . SUPER
    (101) Input -> . INPUT LPAREN RPAREN
    (103) FieldAccess -> . Primary DOT IDENTIFIER
    (104) FieldAccess -> . IDENTIFIER
    (102) ArrayAccess -> . Primary LSQR AE RSQR
    (110) NewObject -> . NEW animal LPAREN RPAREN
    (111) NewObject -> . NEW dog LPAREN RPAREN
    (47) Assign -> . Lhs EQUALS AE
    (48) Assign -> . Lhs Inc
    (49) Assign -> . Lhs Dec
    (50) Assign -> . Inc Lhs
    (51) Assign -> . Dec Lhs
    (105) MethodCall -> . FieldAccess LPAREN ArgsQ RPAREN
    (66) Lhs -> . FieldAccess
    (67) Lhs -> . ArrayAccess
    (53) Inc -> . INC
    (52) Dec -> . DEC

    MINUS           shift and go to state 98
    NOT             shift and go to state 106
    LPAREN          shift and go to state 74
    NEW             shift and go to state 99
    NUMBER          shift and go to state 55
    TRUE            shift and go to state 89
    FALSE           shift and go to state 83
    THIS            shift and go to state 87
    SUPER           shift and go to state 91
    INPUT           shift and go to state 61
    IDENTIFIER      shift and go to state 69
    INC             shift and go to state 68
    DEC             shift and go to state 62

    false                          shift and go to state 71
    true                           shift and go to state 79
    Input                          shift and go to state 59
    MethodCall                     shift and go to state 63
    super                          shift and go to state 66
    NewArray                       shift and go to state 100
    AE                             shift and go to state 179
    Lhs                            shift and go to state 73
    intconst                       shift and go to state 75
    ArrayAccess                    shift and go to state 103
    Dec                            shift and go to state 78
    Assign                         shift and go to state 80
    this                           shift and go to state 84
    FieldAccess                    shift and go to state 104
    Primary                        shift and go to state 105
    NewObject                      shift and go to state 88
    SE                             shift and go to state 107
    Inc                            shift and go to state 90

state 142

    (72) AE -> AE LT . AE
    (68) AE -> . AE TIMES AE
    (69) AE -> . AE SLASH AE
    (70) AE -> . AE PLUS AE
    (71) AE -> . AE MINUS AE
    (72) AE -> . AE LT AE
    (73) AE -> . AE EQ AE
    (74) AE -> . AE GT AE
    (75) AE -> . AE GTEQ AE
    (76) AE -> . AE LTEQ AE
    (77) AE -> . AE NEQ AE
    (78) AE -> . AE LAND AE
    (79) AE -> . AE LOR AE
    (80) AE -> . AE MOD AE
    (81) AE -> . MINUS AE
    (82) AE -> . NOT AE
    (83) AE -> . Primary
    (84) AE -> . SE
    (85) AE -> . NewArray
    (86) Primary -> . intconst
    (87) Primary -> . true
    (88) Primary -> . false
    (89) Primary -> . this
    (90) Primary -> . super
    (91) Primary -> . Input
    (92) Primary -> . LPAREN AE RPAREN
    (93) Primary -> . FieldAccess
    (94) Primary -> . ArrayAccess
    (95) Primary -> . NewObject
    (45) SE -> . Assign
    (46) SE -> . MethodCall
    (112) NewArray -> . NEW Type DimExpr Dimstar
    (96) intconst -> . NUMBER
    (97) true -> . TRUE
    (98) false -> . FALSE
    (99) this -> . THIS
    (100) super -> . SUPER
    (101) Input -> . INPUT LPAREN RPAREN
    (103) FieldAccess -> . Primary DOT IDENTIFIER
    (104) FieldAccess -> . IDENTIFIER
    (102) ArrayAccess -> . Primary LSQR AE RSQR
    (110) NewObject -> . NEW animal LPAREN RPAREN
    (111) NewObject -> . NEW dog LPAREN RPAREN
    (47) Assign -> . Lhs EQUALS AE
    (48) Assign -> . Lhs Inc
    (49) Assign -> . Lhs Dec
    (50) Assign -> . Inc Lhs
    (51) Assign -> . Dec Lhs
    (105) MethodCall -> . FieldAccess LPAREN ArgsQ RPAREN
    (66) Lhs -> . FieldAccess
    (67) Lhs -> . ArrayAccess
    (53) Inc -> . INC
    (52) Dec -> . DEC

    MINUS           shift and go to state 98
    NOT             shift and go to state 106
    LPAREN          shift and go to state 74
    NEW             shift and go to state 99
    NUMBER          shift and go to state 55
    TRUE            shift and go to state 89
    FALSE           shift and go to state 83
    THIS            shift and go to state 87
    SUPER           shift and go to state 91
    INPUT           shift and go to state 61
    IDENTIFIER      shift and go to state 69
    INC             shift and go to state 68
    DEC             shift and go to state 62

    false                          shift and go to state 71
    true                           shift and go to state 79
    Input                          shift and go to state 59
    MethodCall                     shift and go to state 63
    super                          shift and go to state 66
    NewArray                       shift and go to state 100
    AE                             shift and go to state 180
    Lhs                            shift and go to state 73
    intconst                       shift and go to state 75
    ArrayAccess                    shift and go to state 103
    Dec                            shift and go to state 78
    Assign                         shift and go to state 80
    this                           shift and go to state 84
    FieldAccess                    shift and go to state 104
    Primary                        shift and go to state 105
    NewObject                      shift and go to state 88
    SE                             shift and go to state 107
    Inc                            shift and go to state 90

state 143

    (78) AE -> AE LAND . AE
    (68) AE -> . AE TIMES AE
    (69) AE -> . AE SLASH AE
    (70) AE -> . AE PLUS AE
    (71) AE -> . AE MINUS AE
    (72) AE -> . AE LT AE
    (73) AE -> . AE EQ AE
    (74) AE -> . AE GT AE
    (75) AE -> . AE GTEQ AE
    (76) AE -> . AE LTEQ AE
    (77) AE -> . AE NEQ AE
    (78) AE -> . AE LAND AE
    (79) AE -> . AE LOR AE
    (80) AE -> . AE MOD AE
    (81) AE -> . MINUS AE
    (82) AE -> . NOT AE
    (83) AE -> . Primary
    (84) AE -> . SE
    (85) AE -> . NewArray
    (86) Primary -> . intconst
    (87) Primary -> . true
    (88) Primary -> . false
    (89) Primary -> . this
    (90) Primary -> . super
    (91) Primary -> . Input
    (92) Primary -> . LPAREN AE RPAREN
    (93) Primary -> . FieldAccess
    (94) Primary -> . ArrayAccess
    (95) Primary -> . NewObject
    (45) SE -> . Assign
    (46) SE -> . MethodCall
    (112) NewArray -> . NEW Type DimExpr Dimstar
    (96) intconst -> . NUMBER
    (97) true -> . TRUE
    (98) false -> . FALSE
    (99) this -> . THIS
    (100) super -> . SUPER
    (101) Input -> . INPUT LPAREN RPAREN
    (103) FieldAccess -> . Primary DOT IDENTIFIER
    (104) FieldAccess -> . IDENTIFIER
    (102) ArrayAccess -> . Primary LSQR AE RSQR
    (110) NewObject -> . NEW animal LPAREN RPAREN
    (111) NewObject -> . NEW dog LPAREN RPAREN
    (47) Assign -> . Lhs EQUALS AE
    (48) Assign -> . Lhs Inc
    (49) Assign -> . Lhs Dec
    (50) Assign -> . Inc Lhs
    (51) Assign -> . Dec Lhs
    (105) MethodCall -> . FieldAccess LPAREN ArgsQ RPAREN
    (66) Lhs -> . FieldAccess
    (67) Lhs -> . ArrayAccess
    (53) Inc -> . INC
    (52) Dec -> . DEC

    MINUS           shift and go to state 98
    NOT             shift and go to state 106
    LPAREN          shift and go to state 74
    NEW             shift and go to state 99
    NUMBER          shift and go to state 55
    TRUE            shift and go to state 89
    FALSE           shift and go to state 83
    THIS            shift and go to state 87
    SUPER           shift and go to state 91
    INPUT           shift and go to state 61
    IDENTIFIER      shift and go to state 69
    INC             shift and go to state 68
    DEC             shift and go to state 62

    false                          shift and go to state 71
    true                           shift and go to state 79
    Input                          shift and go to state 59
    MethodCall                     shift and go to state 63
    super                          shift and go to state 66
    NewArray                       shift and go to state 100
    AE                             shift and go to state 181
    Lhs                            shift and go to state 73
    intconst                       shift and go to state 75
    ArrayAccess                    shift and go to state 103
